ID Date gender age handiness kind user truth accurate
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral sad 0
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral sad 0
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy neutral 0
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right cartoon happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral sad 0
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral sad 0
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan sad sad 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan happy happy 1
’≈—ﬁ∑º 2021-01-26 05:29:25.278066+00:00 female 23 right realMan neutral neutral 1
