ID Date gender age handiness kind user truth accurate
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan neutral neutral 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan sad sad 1
zk 2021-01-29 10:30:46.267299+00:00 male 30 right realMan happy happy 1
